name,county,county_code
Alba Iulia,Alba,AB
Cugir,Alba,AB
Aiud,Alba,AB
Sebes,Alba,AB
Blaj,Alba,AB
Ocna Mures,Alba,AB
Teius,Alba,AB
Campeni,Alba,AB
Abrud,Alba,AB
Zlatna,Alba,AB
Petresti,Alba,AB
Unirea,Alba,AB
Baia de Aries,Alba,AB
Daia Romana,Alba,AB
Vintu de Jos,Alba,AB
Vinerea,Alba,AB
Mihalt,Alba,AB
Aiudul de Sus,Alba,AB
Bucerdea Granoasa,Alba,AB
Barabant,Alba,AB
Lunca Muresului,Alba,AB
Izvoarele,Alba,AB
Cetatea de Balta,Alba,AB
Craciunelu de Jos,Alba,AB
Galda de Jos,Alba,AB
Sard,Alba,AB
Valea Lunga,Alba,AB
Oarda,Alba,AB
Tiur,Alba,AB
Sancel,Alba,AB
Pianu de Sus,Alba,AB
Bistra,Alba,AB
Veza,Alba,AB
Rosia Montana,Alba,AB
Razboieni-Cetate,Alba,AB
Sasciori,Alba,AB
Ciumbrud,Alba,AB
Lancram,Alba,AB
Sanmiclaus,Alba,AB
Garbova,Alba,AB
Stremt,Alba,AB
Micesti,Alba,AB
Uioara de Sus,Alba,AB
Biia,Alba,AB
Cut,Alba,AB
Abrud-Sat,Alba,AB
Uioara de Jos,Alba,AB
Sibot,Alba,AB
Sugag,Alba,AB
Salistea,Alba,AB
Jidvei,Alba,AB
Telna,Alba,AB
Calnic,Alba,AB
Cricau,Alba,AB
Ighiu,Alba,AB
Fenes,Alba,AB
Santimbru,Alba,AB
Pianu de Jos,Alba,AB
Lopadea Noua,Alba,AB
Balcaciu,Alba,AB
Cenade,Alba,AB
Dobra,Alba,AB
Sebesel,Alba,AB
Bucerdea Vanoasa,Alba,AB
Ighiel,Alba,AB
Veseus,Alba,AB
Cergau Mare,Alba,AB
Feisa,Alba,AB
Sancrai,Alba,AB
Sona,Alba,AB
Capalna,Alba,AB
Miraslau,Alba,AB
Rahau,Alba,AB
Capalna de Jos,Alba,AB
Geoagiu de Sus,Alba,AB
Almasu Mare,Alba,AB
Oiejdea,Alba,AB
